#: table_doi: 10.17182/hepdata.83196.v1/t9
#: name: Table 9
#: description: The radial jet momentum distribution $\mathrm{P}(\Delta\mathrm{r})$ of jets in pp and PbPb collisions. The PbPb results are shown for different centrality regions.
#: data_file: data9.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X | PB PB --> CHARGED X
#: keyword observables: $P(\Delta r)$
#: keyword phrases: 
#: keyword cmenergies: 5020.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: RE,,,PB PB --> CHARGED X
#: JET ALGO,,,ANTI-K_T JET R = 0.4
#: PT(JET) [GEV],,,> 120
#: |ETA(JET)|,,,< 1.6
#: PT(TRK) [GEV],,,> 0.7
#: |ETA(TRK)|,,,< 2.4
#: CENTRALITY,,,0-10%
$\Delta r$,$\Delta r$ LOW,$\Delta r$ HIGH,$P(\Delta r)$,stat +,stat -,sys +,sys -
0.025,0,0.05,968.4,7.8,-7.8,41.8,-41.8
0.07500000000000001,0.05,0.1,379.0,2.7,-2.7,13.8,-13.8
0.125,0.1,0.15,160.85,0.84,-0.84,4.26,-4.26
0.175,0.15,0.2,88.36,0.51,-0.51,2.37,-2.37
0.225,0.2,0.25,61.76,0.42,-0.42,1.73,-1.73
0.275,0.25,0.3,45.42,0.38,-0.38,1.35,-1.35
0.32499999999999996,0.3,0.35,34.19,0.36,-0.36,1.11,-1.11
0.375,0.35,0.4,27.55,0.38,-0.38,0.96,-0.96
0.42500000000000004,0.4,0.45,18.99,0.37,-0.37,0.73,-0.73
0.475,0.45,0.5,17.68,0.41,-0.41,0.72,-0.72
0.55,0.5,0.6,14.07,0.3,-0.3,0.63,-0.63
0.6499999999999999,0.6,0.7,11.15,0.32,-0.32,0.56,-0.56
0.75,0.7,0.8,8.85,0.34,-0.34,0.5,-0.5
0.9,0.8,1,6.35,0.27,-0.27,0.46,-0.46

#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: RE,,,PB PB --> CHARGED X
#: JET ALGO,,,ANTI-K_T JET R = 0.4
#: PT(JET) [GEV],,,> 120
#: |ETA(JET)|,,,< 1.6
