# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 4.036410468938888e-05 7.074316289416154e-08 0 0
0.375 0.25 0.5 4.797016688594444e-05 7.712095977467516e-08 0 0
0.625 0.5 0.75 4.329960380205555e-05 7.327043540657707e-08 0 0
0.875 0.75 1 3.863995151061111e-05 6.921577682374512e-08 0 0
1.1659 1 1.3318 4.525995083999999e-05 7.491069908268648e-08 0 0
1.5538 1.3318 1.7758 5.142368066716666e-05 7.984879933696603e-08 0 0
2.07175 1.7758 2.3677 5.593702915083333e-05 8.327919328595152e-08 0 0
2.7623 2.3677 3.156899999999999 5.775132035355555e-05 8.46189768751039e-08 0 0
3.68305 3.156899999999999 4.2092 5.694528556172222e-05 8.402638867516899e-08 0 0
4.91075 4.2092 5.6123 5.357620643566666e-05 8.150284911223736e-08 0 0
6.547700000000001 5.612300000000001 7.4831 4.80758031946111e-05 7.720582807843477e-08 0 0
8.7303 7.4831 9.977499999999999 4.070543891211111e-05 7.104164874229322e-08 0 0
11.6404 9.977499999999999 13.3033 3.273708881188888e-05 6.370988767111929e-08 0 0
15.5205 13.3033 17.7377 2.458908259516666e-05 5.521511409881405e-08 0 0
20.694 17.7377 23.6503 1.708059759922222e-05 4.601912340046917e-08 0 0
27.592 23.6503 31.5337 1.101295713733333e-05 3.695207115689418e-08 0 0
36.7893 31.5337 42.0449 6.467124248888888e-06 2.83166852499748e-08 0 0
49.0524 42.0449 56.0599 3.429832402166666e-06 2.062164282850082e-08 0 0
65.40325 56.0599 74.7466 1.649885398388889e-06 1.430255743935833e-08 0 0
87.20435000000001 74.7466 99.66210000000001 6.530357250555554e-07 8.998192529922363e-09 0 0
116.27255 99.66209999999998 132.883 1.660176259444444e-07 4.536949138612322e-09 0 0
155.03 132.883 177.177 1.797801027777778e-08 1.492992490333525e-09 0 0
238.5885 177.177 300 8.679039444444444e-10 3.280368569845741e-10 0 0
