# x_center x_low x_high value error n_jet n_event
0.003154785 0 0.00630957 0.0001356020561976667 1.296641592999458e-07 0 0
0.007126425 0.00630957 0.00794328 3.063366160938889e-05 6.162916255841983e-08 0 0
0.008971639999999999 0.00794328 0.009999999999999998 3.49609066901111e-05 6.583823120530415e-08 0 0
0.01129465 0.01 0.0125893 3.901352216555555e-05 6.954956071973467e-08 0 0
0.0142191 0.0125893 0.0158489 4.213115712027777e-05 7.227506727644021e-08 0 0
0.01790075 0.0158489 0.0199526 4.45395905661111e-05 7.431216621817952e-08 0 0
0.02253575 0.0199526 0.0251189 4.559954925483333e-05 7.519121212250288e-08 0 0
0.02837085 0.0251189 0.0316228 4.539447595138888e-05 7.502194415559727e-08 0 0
0.03571675 0.0316228 0.0398107 4.412274870022222e-05 7.396360846162682e-08 0 0
0.0449647 0.03981069999999999 0.0501187 4.157123508983333e-05 7.179319397695981e-08 0 0
0.0566072 0.0501187 0.0630957 3.781023533972222e-05 6.846860843973644e-08 0 0
0.07126425 0.0630957 0.0794328 3.323675351133333e-05 6.419424704198737e-08 0 0
0.0897164 0.0794328 0.1 2.821964878105555e-05 5.915107110238395e-08 0 0
0.1129465 0.1 0.125893 2.284347979033333e-05 5.321915097683653e-08 0 0
0.142191 0.125893 0.158489 1.769519757816666e-05 4.683974468610213e-08 0 0
0.1790075 0.158489 0.199526 1.298173524216666e-05 4.011928503566387e-08 0 0
0.2253575 0.199526 0.251189 8.94139440822222e-06 3.329579869620953e-08 0 0
0.2837085 0.251189 0.3162280000000001 5.75618693211111e-06 2.671494323230994e-08 0 0
0.3571675 0.316228 0.398107 3.404043256388888e-06 2.054396876833208e-08 0 0
0.449647 0.398107 0.501187 1.837600622944444e-06 1.509427909113275e-08 0 0
0.5660725 0.501187 0.6309579999999999 9.436595601666666e-07 1.081669248682239e-08 0 0
0.7126435 0.630958 0.794329 3.979959516666666e-07 7.024673417161423e-09 0 0
0.8971644999999999 0.7943289999999998 1 1.079920479444444e-07 3.659170951763661e-09 0 0
