# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 0.003857133309491407 6.572038015535985e-06 0 0
0.07500000000000001 0.05000000000000001 0.1 0.001668381734975557 2.755680404736582e-06 0 0
0.125 0.1 0.15 0.000806017456422082 1.576685252867232e-06 0 0
0.175 0.15 0.2 0.0004599649483401706 1.048637338937835e-06 0 0
0.225 0.2 0.25 0.0002888050159166213 7.186359226109228e-07 0 0
0.275 0.25 0.3 0.0002008211120493402 5.411840421337689e-07 0 0
0.325 0.2999999999999999 0.35 0.0001497218527931835 4.262317365045528e-07 0 0
0.375 0.35 0.4 0.0001044045991572472 3.31238817777297e-07 0 0
0.425 0.4 0.4500000000000001 0.0001184350824152449 4.29613290975096e-07 0 0
0.475 0.45 0.5 0.0001149130742482287 4.40081652699262e-07 0 0
0.55 0.5 0.6000000000000001 0.0002086891143136061 5.857674702916953e-07 0 0
0.6499999999999999 0.5999999999999999 0.7 0.0001849270302361725 5.463864262722094e-07 0 0
0.75 0.7 0.8 0.0001650538702187692 4.952368370078671e-07 0 0
0.9 0.8 1 0.0002908094674993079 6.362747745033742e-07 0 0
