# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 0.0001393941765035 1.314646914139592e-07 0 0
0.07500000000000001 0.05000000000000001 0.1 0.0001396421490590555 1.315815727323621e-07 0 0
0.125 0.1 0.15 0.0001048705694151111 1.140285558542933e-07 0 0
0.175 0.15 0.2 8.115236643505554e-05 1.003084236100877e-07 0 0
0.225 0.2 0.25 6.577682812783332e-05 9.030738665025518e-08 0 0
0.275 0.25 0.3 5.582382967922221e-05 8.319488477801625e-08 0 0
0.325 0.2999999999999999 0.35 4.912547102227777e-05 7.804411762671357e-08 0 0
0.375 0.35 0.4 4.196761921988889e-05 7.213465806579489e-08 0 0
0.425 0.4 0.4500000000000001 4.187376160761111e-05 7.205395088599733e-08 0 0
0.475 0.45 0.5 4.119344890144444e-05 7.146623257258762e-08 0 0
0.55 0.5 0.6000000000000001 7.897938293072221e-05 9.895635255387098e-08 0 0
0.6499999999999999 0.5999999999999999 0.7 7.543002775677777e-05 9.67072302066259e-08 0 0
0.75 0.7 0.8 7.335424949422221e-05 9.536729184563778e-08 0 0
0.9 0.8 1 0.0001431855528916667 1.332405483874592e-07 0 0
