# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 0.001772483228917083 2.419331698047657e-06 0 0
0.07500000000000001 0.05000000000000001 0.1 0.000822788074670515 1.113738774382038e-06 0 0
0.125 0.1 0.15 0.0004021387557175933 6.500912322352297e-07 0 0
0.175 0.15 0.2 0.0002297522053083788 4.321474856082585e-07 0 0
0.225 0.2 0.25 0.0001447408041076707 3.030566384107347e-07 0 0
0.275 0.25 0.3 0.0001004426943137048 2.273040677997967e-07 0 0
0.325 0.2999999999999999 0.35 7.473071357362774e-05 1.784375682186538e-07 0 0
0.375 0.35 0.4 5.166720451286539e-05 1.357876014718966e-07 0 0
0.425 0.4 0.4500000000000001 5.822779803359141e-05 1.7374690516429e-07 0 0
0.475 0.45 0.5 5.657087189870529e-05 1.752836078621099e-07 0 0
0.55 0.5 0.6000000000000001 0.0001022417692662223 2.329361334686576e-07 0 0
0.6499999999999999 0.5999999999999999 0.7 8.94350111680614e-05 2.123851345470423e-07 0 0
0.75 0.7 0.8 7.891692171638907e-05 1.939003565091827e-07 0 0
0.9 0.8 1 0.0001345821618226434 2.379475548216804e-07 0 0
