# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 -2.458504686013872e-06 6.110332052316271e-06 0 0
0.07500000000000001 0.05000000000000001 0.1 1.835710328731085e-07 2.520216083885075e-06 0 0
0.125 0.1 0.15 2.109151787362504e-06 1.435989658816097e-06 0 0
0.175 0.15 0.2 -5.654425623426627e-09 9.549707583943025e-07 0 0
0.225 0.2 0.25 5.822482232343557e-07 6.510608876311055e-07 0 0
0.275 0.25 0.3 -2.033460367074912e-08 4.905291210095287e-07 0 0
0.325 0.2999999999999999 0.35 3.524531609853282e-07 3.864209175569353e-07 0 0
0.375 0.35 0.4 -1.003346443518983e-07 3.014592995308753e-07 0 0
0.425 0.4 0.4500000000000001 -6.074300664323951e-07 3.923530995249348e-07 0 0
0.475 0.45 0.5 -4.113432044886784e-08 4.031239873422496e-07 0 0
0.55 0.5 0.6000000000000001 -6.737526725832238e-07 5.366743254126009e-07 0 0
0.6499999999999999 0.5999999999999999 0.7 -7.249732648619931e-07 5.026227682787893e-07 0 0
0.75 0.7 0.8 -9.148991518743563e-07 4.548525116089455e-07 0 0
0.9 0.8 1 -3.940313536467855e-07 5.888447630444694e-07 0 0
