# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 325553 570.5725194924831 237413 120000
0.375 0.25 0.5 386899 622.0120577609408 237413 120000
0.625 0.5 0.75 349229 590.9560051306696 237413 120000
0.875 0.75 1 311647 558.2535266346287 237413 120000
1.1659 1 1.3318 365040 604.1854020083571 237413 120000
1.5538 1.3318 1.7758 414753 644.0131986225127 237413 120000
2.07175 1.7758 2.3677 451155 671.680727727095 237413 120000
2.7623 2.3677 3.156899999999999 465788 682.4866299056707 237413 120000
3.68305 3.156899999999999 4.2092 459287 677.7071638989808 237413 120000
4.91075 4.2092 5.6123 432114 657.353786023934 237413 120000
6.547700000000001 5.612300000000001 7.4831 387751 622.6965553140631 237413 120000
8.7303 7.4831 9.977499999999999 328306 572.9799298404788 237413 120000
11.6404 9.977499999999999 13.3033 264038 513.8462805158757 237413 120000
15.5205 13.3033 17.7377 198321 445.3324600789841 237413 120000
20.694 17.7377 23.6503 137762 371.1630369527655 237413 120000
27.592 23.6503 31.5337 88824 298.0335551578044 237413 120000
36.7893 31.5337 42.0449 52160 228.3856387779232 237413 120000
49.0524 42.0449 56.0599 27663 166.3219769002281 237413 120000
65.40325 56.0599 74.7466 13307 115.3559708034222 237413 120000
87.20435000000001 74.7466 99.66210000000001 5267 72.5741000633146 237413 120000
116.27255 99.66209999999998 132.883 1339 36.59234892706397 237413 120000
155.03 132.883 177.177 145 12.0415945787923 237413 120000
238.5885 177.177 300 7 2.645751311064591 237413 120000
