# x_center x_low x_high value error n_jet n_event
0.003154785 0 0.00630957 1093686 1045.794434867579 237413 120000
0.007126425 0.00630957 0.00794328 247073 497.064382147826 237413 120000
0.008971639999999999 0.00794328 0.009999999999999998 281974 531.0122409135217 237413 120000
0.01129465 0.01 0.0125893 314660 560.9456301639224 237413 120000
0.0142191 0.0125893 0.0158489 339805 582.9279543820145 237413 120000
0.01790075 0.0158489 0.0199526 359230 599.3579898524754 237413 120000
0.02253575 0.0199526 0.0251189 367779 606.447854312306 237413 120000
0.02837085 0.0251189 0.0316228 366125 605.0826389841309 237413 120000
0.03571675 0.0316228 0.0398107 355868 596.5467291000765 237413 120000
0.0449647 0.03981069999999999 0.0501187 335289 579.0414492935718 237413 120000
0.0566072 0.0501187 0.0630957 304955 552.2273082707881 237413 120000
0.07126425 0.0630957 0.0794328 268068 517.752836786048 237413 120000
0.0897164 0.0794328 0.1 227603 477.0775618282629 237413 120000
0.1129465 0.1 0.125893 184242 429.2342018059605 237413 120000
0.142191 0.125893 0.158489 142719 377.7816829863513 237413 120000
0.1790075 0.158489 0.199526 104703 323.5784294417661 237413 120000
0.2253575 0.199526 0.251189 72116 268.5442235461414 237413 120000
0.2837085 0.251189 0.3162280000000001 46426 215.466934818315 237413 120000
0.3571675 0.316228 0.398107 27455 165.6955038617524 237413 120000
0.449647 0.398107 0.501187 14821 121.7415294794673 237413 120000
0.5660725 0.501187 0.6309579999999999 7611 87.24104538575865 237413 120000
0.7126435 0.630958 0.794329 3210 56.65686189686118 237413 120000
0.8971644999999999 0.7943289999999998 1 871 29.51270912674741 237413 120000
