# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 31109356.44349771 53006.17240332947 237413 120000
0.07500000000000001 0.05000000000000001 0.1 13456180.51350666 22225.6886336698 237413 120000
0.125 0.1 0.15 6500860.182823761 12716.61091151672 237413 120000
0.175 0.15 0.2 3709805.283166673 8457.688687270069 237413 120000
0.225 0.2 0.25 2329330.479895931 5796.09240224909 237413 120000
0.275 0.25 0.3 1619704.33864685 4364.870466582925 237413 120000
0.325 0.2999999999999999 0.35 1207567.929908598 3437.733143892694 237413 120000
0.375 0.35 0.4 842065.7594413225 2671.576433409677 237413 120000
0.425 0.4 0.4500000000000001 955227.3407829668 3465.006762644311 237413 120000
0.475 0.45 0.5 926820.9055697998 3549.438378076211 237413 120000
0.55 0.5 0.6000000000000001 1683162.99234051 4724.454034676111 237413 120000
0.6499999999999999 0.5999999999999999 0.7 1491512.07335718 4406.829820728266 237413 120000
0.75 0.7 0.8 1331226.916212433 3994.287479905531 237413 120000
0.9 0.8 1 2345497.20107357 5131.816084065189 237413 120000
