# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 1124271 1060.316462194188 237413 120000
0.07500000000000001 0.05000000000000001 0.1 1126271 1061.259157793232 237413 120000
0.125 0.1 0.15 845824 919.6869032447945 237413 120000
0.175 0.15 0.2 654527 809.0284296611585 237413 120000
0.225 0.2 0.25 530517 728.3659794361623 237413 120000
0.275 0.25 0.3 450242 671.0007451560691 237413 120000
0.325 0.2999999999999999 0.35 396217 629.4577031064121 237413 120000
0.375 0.35 0.4 338486 581.7954967168447 237413 120000
0.425 0.4 0.4500000000000001 337729 581.1445603290114 237413 120000
0.475 0.45 0.5 332242 576.4043719473335 237413 120000
0.55 0.5 0.6000000000000001 637001 798.1234240391645 237413 120000
0.6499999999999999 0.5999999999999999 0.7 608374 779.9833331552669 237413 120000
0.75 0.7 0.8 591632 769.1761826785851 237413 120000
0.9 0.8 1 1154850 1074.639474428517 237413 120000
