# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 14295801.60551257 19512.89885791924 237413 120000
0.07500000000000001 0.05000000000000001 0.1 6636122.07267976 8982.758369262499 237413 120000
0.125 0.1 0.15 3243413.407718811 5243.251462072253 237413 120000
0.175 0.15 0.2 1853045.429109233 3485.446078015199 237413 120000
0.225 0.2 0.25 1167393.736644724 2444.275639550266 237413 120000
0.275 0.25 0.3 810111.3777585097 1833.300199617225 237413 120000
0.325 0.2999999999999999 0.35 602733.7453227573 1439.171910124359 237413 120000
0.375 0.35 0.4 416717.1193369415 1095.182498463826 237413 120000
0.425 0.4 0.4500000000000001 469630.9872125838 1401.339795648183 237413 120000
0.475 0.45 0.5 456267.2007953816 1413.733930913492 237413 120000
0.55 0.5 0.6000000000000001 824621.6524821526 1878.725110904225 237413 120000
0.6499999999999999 0.5999999999999999 0.7 721329.9146568215 1712.972905983217 237413 120000
0.75 0.7 0.8 636497.2247802528 1563.885616896354 237413 120000
0.9 0.8 1 1085460.135063146 1919.144272144027 237413 120000
