# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 -19828.84501477077 49282.32512365522 237413 120000
0.07500000000000001 0.05000000000000001 0.1 1480.575400465891 20326.57265832346 237413 120000
0.125 0.1 0.15 17011.17111639374 11581.84344714211 237413 120000
0.175 0.15 0.2 -45.60525345846037 7702.229436276079 237413 120000
0.225 0.2 0.25 4696.069868940875 5251.072129111018 237413 120000
0.275 0.25 0.3 -164.0068887880891 3956.317826467139 237413 120000
0.325 0.2999999999999999 0.35 2842.678781090877 3116.64261951248 237413 120000
0.375 0.35 0.4 -809.2399106595444 2431.392448696498 237413 120000
0.425 0.4 0.4500000000000001 -4899.171725447714 3164.488091401166 237413 120000
0.475 0.45 0.5 -331.7651048658258 3251.35970340826 237413 120000
0.55 0.5 0.6000000000000001 -5434.090648247377 4328.497758231676 237413 120000
0.6499999999999999 0.5999999999999999 0.7 -5847.205657398412 4053.858034028949 237413 120000
0.75 0.7 0.8 -7379.035553548451 3668.571391619512 237413 120000
0.9 0.8 1 -3178.023896749389 4749.273658330671 237413 120000
