# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 2620.695281513456 4.465313390869873 0 0
0.07500000000000001 0.05000000000000001 0.1 1133.567286838266 1.87232279897645 0 0
0.125 0.1 0.15 547.6414672173607 1.071264919066498 0 0
0.175 0.15 0.2 312.5191361186348 0.7124874111586195 0 0
0.225 0.2 0.25 196.2260263672109 0.4882708530913716 0 0
0.275 0.25 0.3 136.4461372078909 0.3677027346087135 0 0
0.325 0.2999999999999999 0.35 101.7271952174985 0.2895994022140906 0 0
0.375 0.35 0.4 70.93678605984691 0.2250572995926655 0 0
0.425 0.4 0.4500000000000001 80.46967443088349 0.2918969696389256 0 0
0.475 0.45 0.5 78.07667697807618 0.2990096058830992 0 0
0.55 0.5 0.6000000000000001 70.89599105105914 0.1989972762517686 0 0
0.6499999999999999 0.5999999999999999 0.7 62.82352159979362 0.185618724363378 0 0
0.75 0.7 0.8 56.07219976212052 0.1682421552276214 0 0
0.9 0.8 1 49.39698333860342 0.1080778239621502 0 0
