# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 1204.298130726841 1.643793630333574 0 0
0.07500000000000001 0.05000000000000001 0.1 559.0361161924376 0.7567200085304931 0 0
0.125 0.1 0.15 273.2296384544075 0.4416987664594823 0 0
0.175 0.15 0.2 156.1031139077668 0.2936188058796441 0 0
0.225 0.2 0.25 98.34286552503227 0.2059091658460377 0 0
0.275 0.25 0.3 68.24490468158946 0.1544397484229781 0 0
0.325 0.2999999999999999 0.35 50.77512565215531 0.1212378353438404 0 0
0.375 0.35 0.4 35.10482739672564 0.09225969078894795 0 0
0.425 0.4 0.4500000000000001 39.56236492631692 0.1180508056128505 0 0
0.475 0.45 0.5 38.43658104614168 0.1190949047367661 0 0
0.55 0.5 0.6000000000000001 34.73363516244488 0.07913320293767508 0 0
0.6499999999999999 0.5999999999999999 0.7 30.38291562200982 0.07215160526101003 0 0
0.75 0.7 0.8 26.80970396651625 0.06587194538194423 0 0
0.9 0.8 1 22.86016635700544 0.04041784300236355 0 0
