# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 8.951261425222453 0.01715404720084909 0 0
0.07500000000000001 0.05000000000000001 0.1 3.871818749454005 0.007240929167538503 0 0
0.125 0.1 0.15 1.870527250891995 0.004010028386740464 0 0
0.175 0.15 0.2 1.067442104969584 0.002607476225937976 0 0
0.225 0.2 0.25 0.6702307104667025 0.001768322642079551 0 0
0.275 0.25 0.3 0.4660461875232833 0.001320779838743065 0 0
0.325 0.2999999999999999 0.35 0.3474599755529771 0.001035044216816564 0 0
0.375 0.35 0.4 0.2422920822447037 0.0007975439527484943 0 0
0.425 0.4 0.4500000000000001 0.2748526689518055 0.001025738636492582 0 0
0.475 0.45 0.5 0.2666791335007098 0.001047743744303165 0 0
0.55 0.5 0.6000000000000001 0.24215274258508 0.0007121102116451212 0 0
0.6499999999999999 0.5999999999999999 0.7 0.2145803708884858 0.0006613483788226778 0 0
0.75 0.7 0.8 0.1915205183519768 0.0005987000137549701 0 0
0.9 0.8 1 0.1687206118926752 0.0003977107972507734 0 0
