# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 2.463296364676299 0.002462084235169229 0 0
0.07500000000000001 0.05000000000000001 0.1 2.467678397770947 0.002464513548128885 0 0
0.125 0.1 0.15 1.853214380123624 0.002106339270336796 0 0
0.175 0.15 0.2 1.434079487670218 0.001835045602672246 0 0
0.225 0.2 0.25 1.162371525636592 0.001641581614864787 0 0
0.275 0.25 0.3 0.986487672300172 0.001505995043108445 0 0
0.325 0.2999999999999999 0.35 0.8681180033310025 0.001408765976417778 0 0
0.375 0.35 0.4 0.7416284270374502 0.00129814271347873 0 0
0.425 0.4 0.4500000000000001 0.7399698275111269 0.001296638452977326 0 0
0.475 0.45 0.5 0.7279477197159611 0.001285689444016461 0 0
0.55 0.5 0.6000000000000001 0.6978398658309107 0.0009043442160054595 0 0
0.6499999999999999 0.5999999999999999 0.7 0.6664787504807913 0.0008824935112220847 0 0
0.75 0.7 0.8 0.6481377509631429 0.0008695174862730081 0 0
0.9 0.8 1 0.6325738649192288 0.0006247653011108211 0 0
