# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 8.606965256570442 0.01317615129667628 0 0
0.07500000000000001 0.05000000000000001 0.1 3.995359875160146 0.006076076288719398 0 0
0.125 0.1 0.15 1.952737403837918 0.003434737701316789 0 0
0.175 0.15 0.2 1.115649060283527 0.002236423854609878 0 0
0.225 0.2 0.25 0.7028439264409356 0.001550158397469963 0 0
0.275 0.25 0.3 0.4877376361764296 0.00115438100274994 0 0
0.325 0.2999999999999999 0.35 0.36288335191747 0.0009022459642677741 0 0
0.375 0.35 0.4 0.250889727412566 0.0006819180917020532 0 0
0.425 0.4 0.4500000000000001 0.2827471800384334 0.0008661606218542614 0 0
0.475 0.45 0.5 0.2747013461241788 0.0008721961537056176 0 0
0.55 0.5 0.6000000000000001 0.2482368638213595 0.0005911530340844004 0 0
0.6499999999999999 0.5999999999999999 0.7 0.2171428257503992 0.000537177691765901 0 0
0.75 0.7 0.8 0.1916055374423586 0.0004891553743762729 0 0
0.9 0.8 1 0.1633786955024302 0.0003102688225357471 0 0
