# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 4.128743049999999e-08 3.91882947831506e-09 0 0
0.375 0.25 0.5 2.514441713333333e-07 9.670929666666666e-09 0 0
0.625 0.5 0.75 5.966219686666666e-07 1.489693966579343e-08 0 0
0.875 0.75 1 9.890385378333331e-07 1.91802403700838e-08 0 0
1.1659 1 1.3318 1.831897254166666e-06 2.610345504806538e-08 0 0
1.5538 1.3318 1.7758 2.910577870833333e-06 3.290311762069035e-08 0 0
2.07175 1.7758 2.3677 4.703047488666666e-06 4.18251127553258e-08 0 0
2.7623 2.3677 3.156899999999999 6.460552976166666e-06 4.902101332799177e-08 0 0
3.68305 3.156899999999999 4.2092 8.203924027999999e-06 5.524058300027417e-08 0 0
4.91075 4.2092 5.6123 9.735278544833331e-06 6.017576629932716e-08 0 0
6.547700000000001 5.612300000000001 7.4831 1.129676172716667e-05 6.482229795742794e-08 0 0
8.7303 7.4831 9.977499999999999 1.23806497675e-05 6.786082849057994e-08 0 0
11.6404 9.977499999999999 13.3033 1.32934367445e-05 7.031792959462532e-08 0 0
15.5205 13.3033 17.7377 1.323503920766666e-05 7.016330766721747e-08 0 0
20.694 17.7377 23.6503 1.242788853933333e-05 6.799016783246773e-08 0 0
27.592 23.6503 31.5337 1.149985125016667e-05 6.540237957841341e-08 0 0
36.7893 31.5337 42.0449 1.003768107633333e-05 6.110322530378427e-08 0 0
49.0524 42.0449 56.0599 8.457599952333333e-06 5.608813609908927e-08 0 0
65.40325 56.0599 74.7466 7.174341977333332e-06 5.165810557718186e-08 0 0
87.20435000000001 74.7466 99.66210000000001 5.631456736666666e-06 4.576756578339811e-08 0 0
116.27255 99.66209999999998 132.883 4.303191742833333e-06 4.000762652637518e-08 0 0
155.03 132.883 177.177 1.026978338833333e-06 1.954465821576451e-08 0 0
238.5885 177.177 300 4.575093649999999e-08 4.12522301996479e-09 0 0
