# x_center x_low x_high value error n_jet n_event
0.003154785 0 0.00630957 1.005776685333333e-06 1.934185933333333e-08 0 0
0.007126425 0.00630957 0.00794328 8.071506683333333e-07 1.732705459440487e-08 0 0
0.008971639999999999 0.00794328 0.009999999999999998 1.4249742905e-06 2.302241895684236e-08 0 0
0.01129465 0.01 0.0125893 2.0833414255e-06 2.783733546990415e-08 0 0
0.0142191 0.0125893 0.0158489 2.904998488333333e-06 3.287156595837143e-08 0 0
0.01790075 0.0158489 0.0199526 3.943507551e-06 3.829911836989398e-08 0 0
0.02253575 0.0199526 0.0251189 5.017352702833332e-06 4.320010020552885e-08 0 0
0.02837085 0.0251189 0.0316228 6.138436626499999e-06 4.778332058452553e-08 0 0
0.03571675 0.0316228 0.0398107 7.130078876166665e-06 5.149850308847431e-08 0 0
0.0449647 0.03981069999999999 0.0501187 8.167472062333332e-06 5.511772291729857e-08 0 0
0.0566072 0.0501187 0.0630957 9.031160473333332e-06 5.795877770715303e-08 0 0
0.07126425 0.0630957 0.0794328 9.895220843166665e-06 6.066807068302036e-08 0 0
0.0897164 0.0794328 0.1 1.06465776865e-05 6.292923498075628e-08 0 0
0.1129465 0.1 0.125893 1.060603417366666e-05 6.28092994510408e-08 0 0
0.142191 0.125893 0.158489 1.029916813616667e-05 6.189399457324106e-08 0 0
0.1790075 0.158489 0.199526 9.835335470999998e-06 6.048421204938615e-08 0 0
0.2253575 0.199526 0.251189 9.262146908833331e-06 5.869529247198268e-08 0 0
0.2837085 0.251189 0.3162280000000001 8.343408590499999e-06 5.570820877882979e-08 0 0
0.3571675 0.316228 0.398107 7.178061565666666e-06 5.167149509700887e-08 0 0
0.449647 0.398107 0.501187 6.657691157833332e-06 4.976331013669946e-08 0 0
0.5660725 0.501187 0.6309579999999999 5.532143728166666e-06 4.536220593138292e-08 0 0
0.7126435 0.630958 0.794329 4.979784860666666e-06 4.303806416446455e-08 0 0
0.8971644999999999 0.7943289999999998 1 4.186768628e-06 3.946271118799977e-08 0 0
