# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 0.004460731628052019 2.063641401810355e-05 0 0
0.07500000000000001 0.05000000000000001 0.1 0.001427356147376362 8.068790457645455e-06 0 0
0.125 0.1 0.15 0.0006827456379241234 4.702001138559739e-06 0 0
0.175 0.15 0.2 0.0003856911413136203 3.118545414888346e-06 0 0
0.225 0.2 0.25 0.0002380976990189825 2.109766458441372e-06 0 0
0.275 0.25 0.3 0.0001531372044857735 1.485462922585205e-06 0 0
0.325 0.2999999999999999 0.35 9.89630269993981e-05 9.98486153118427e-07 0 0
0.375 0.35 0.4 5.068511746879249e-05 7.181519909716499e-07 0 0
0.425 0.4 0.4500000000000001 0.0001154455414991574 1.431130181491016e-06 0 0
0.475 0.45 0.5 0.0001124252333343004 1.382604861997869e-06 0 0
0.55 0.5 0.6000000000000001 0.0002114621235640462 1.971718522662618e-06 0 0
0.6499999999999999 0.5999999999999999 0.7 0.0001804927422516886 1.806933103077355e-06 0 0
0.75 0.7 0.8 0.0001554728757939554 1.554074700326669e-06 0 0
0.9 0.8 1 0.0002759673516459117 2.043584000049721e-06 0 0
