# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 4.184797246183333e-05 1.247626667487874e-07 0 0
0.07500000000000001 0.05000000000000001 0.1 2.955584889666666e-05 1.048501744098712e-07 0 0
0.125 0.1 0.15 2.091561715716667e-05 8.820288292468883e-08 0 0
0.175 0.15 0.2 1.583689124683333e-05 7.675071069246855e-08 0 0
0.225 0.2 0.25 1.287758676883333e-05 6.920933571913556e-08 0 0
0.275 0.25 0.3 1.051676405366666e-05 6.25444105243929e-08 0 0
0.325 0.2999999999999999 0.35 8.847412809666665e-06 5.736613414465019e-08 0 0
0.375 0.35 0.4 6.136204873499999e-06 4.7774633497719e-08 0 0
0.425 0.4 0.4500000000000001 8.452392528666665e-06 5.607086644451143e-08 0 0
0.475 0.45 0.5 8.628701015666666e-06 5.665263950575933e-08 0 0
0.55 0.5 0.6000000000000001 1.69378893935e-05 7.937378394618275e-08 0 0
0.6499999999999999 0.5999999999999999 0.7 1.604258448166667e-05 7.724753075310674e-08 0 0
0.75 0.7 0.8 1.541732168283333e-05 7.572720109888779e-08 0 0
0.9 0.8 1 3.021421603166666e-05 1.060115302465728e-07 0 0
