# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 0.002079736027500556 7.690030256802649e-06 0 0
0.07500000000000001 0.05000000000000001 0.1 0.000709988176644955 3.285638521431683e-06 0 0
0.125 0.1 0.15 0.0003416392896630205 1.939866654458966e-06 0 0
0.175 0.15 0.2 0.0001914600348643399 1.268020015211767e-06 0 0
0.225 0.2 0.25 0.000120684095187926 8.874020421236239e-07 0 0
0.275 0.25 0.3 7.716859516943204e-05 6.217096876186559e-07 0 0
0.325 0.2999999999999999 0.35 4.992209682623936e-05 4.237059545752426e-07 0 0
0.375 0.35 0.4 2.508108425288982e-05 2.791894208606705e-07 0 0
0.425 0.4 0.4500000000000001 5.802646456033878e-05 5.963784868532386e-07 0 0
0.475 0.45 0.5 5.682362593494295e-05 5.818585071726248e-07 0 0
0.55 0.5 0.6000000000000001 0.0001041877655662479 7.79598853321139e-07 0 0
0.6499999999999999 0.5999999999999999 0.7 8.798539849573742e-05 6.917741917336217e-07 0 0
0.75 0.7 0.8 7.63297700088624e-05 6.11738080228662e-07 0 0
0.9 0.8 1 0.0001303083102683071 7.532329513173435e-07 0 0
