# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 -2.348952235973738e-05 1.914970179549571e-05 0 0
0.07500000000000001 0.05000000000000001 0.1 -7.365341404392896e-06 7.369068050964096e-06 0 0
0.125 0.1 0.15 -8.533381472476548e-06 4.282677489514806e-06 0 0
0.175 0.15 0.2 -5.670747616943798e-06 2.84858001006968e-06 0 0
0.225 0.2 0.25 1.405201427631175e-07 1.91345552200852e-06 0 0
0.275 0.25 0.3 -4.475487105913722e-06 1.348427958767813e-06 0 0
0.325 0.2999999999999999 0.35 -1.703692678988897e-06 9.033297091564236e-07 0 0
0.375 0.35 0.4 1.525642307428517e-07 6.610469567614373e-07 0 0
0.425 0.4 0.4500000000000001 -1.897770069195765e-06 1.30038020314709e-06 0 0
0.475 0.45 0.5 -1.659505654935856e-06 1.253589839836858e-06 0 0
0.55 0.5 0.6000000000000001 5.189879399211183e-07 1.810204877348743e-06 0 0
0.6499999999999999 0.5999999999999999 0.7 -1.879302719482901e-06 1.668401316526577e-06 0 0
0.75 0.7 0.8 -1.022052538258761e-06 1.427643762224177e-06 0 0
0.9 0.8 1 2.476576170449246e-06 1.89829608823612e-06 0 0
