# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.005613999595387416 0.0005328572604113262 0 0
0.375 0.25 0.5 0.03418976330163868 0.001314990896216872 0 0
0.625 0.5 0.75 0.08112482298199475 0.002025590167357959 0 0
0.875 0.75 1 0.1344831074246409 0.002608005883947752 0 0
1.1659 1 1.3318 0.1876805467806166 0.002674337059647361 0 0
1.5538 1.3318 1.7758 0.2228387855790243 0.002519118572924204 0 0
2.07175 1.7758 2.3677 0.2701006032036033 0.002402057009097939 0 0
2.7623 2.3677 3.156899999999999 0.2782768928173475 0.002111493446767677 0 0
3.68305 3.156899999999999 4.2092 0.2650187428906583 0.001784486279165204 0 0
4.91075 4.2092 5.6123 0.2358599963177976 0.001457899324854186 0 0
6.547700000000001 5.612300000000001 7.4831 0.2052679463999494 0.00117785435366389 0 0
8.7303 7.4831 9.977499999999999 0.1687220604175608 0.0009247995072624818 0 0
11.6404 9.977499999999999 13.3033 0.1358737852543714 0.0007187278541213304 0 0
15.5205 13.3033 17.7377 0.1014576728557257 0.0005378605838698677 0 0
20.694 17.7377 23.6503 0.07145183399792576 0.0003908968261246728 0 0
27.592 23.6503 31.5337 0.04958761147857066 0.0002820164989752686 0 0
36.7893 31.5337 42.0449 0.03246202615132551 0.0001976088384017821 0 0
49.0524 42.0449 56.0599 0.02051391572091663 0.0001360418207724034 0 0
65.40325 56.0599 74.7466 0.01305100604575973 9.397241591358991e-05 0 0
87.20435000000001 74.7466 99.66210000000001 0.007683262569300949 6.24428529801233e-05 0 0
116.27255 99.66209999999998 132.883 0.004403254970843478 4.093793418973242e-05 0 0
155.03 132.883 177.177 0.0007881536882176232 1.499953200104213e-05 0 0
238.5885 177.177 300 1.266236468447366e-05 1.141726973907516e-06 0 0
