# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 111 10.53565375285274 79088 40000
0.375 0.25 0.5 676 26 79088 40000
0.625 0.5 0.75 1604 40.04996878900157 79088 40000
0.875 0.75 1 2659 51.56549233741495 79088 40000
1.1659 1 1.3318 4925 70.178344238091 79088 40000
1.5538 1.3318 1.7758 7825 88.45903006477066 79088 40000
2.07175 1.7758 2.3677 12644 112.4455423749648 79088 40000
2.7623 2.3677 3.156899999999999 17369 131.7915020022156 79088 40000
3.68305 3.156899999999999 4.2092 22056 148.5126257258958 79088 40000
4.91075 4.2092 5.6123 26173 161.7807157852876 79088 40000
6.547700000000001 5.612300000000001 7.4831 30371 174.2727746953035 79088 40000
8.7303 7.4831 9.977499999999999 33285 182.4417715327277 79088 40000
11.6404 9.977499999999999 13.3033 35739 189.0476130502578 79088 40000
15.5205 13.3033 17.7377 35582 188.6319167055247 79088 40000
20.694 17.7377 23.6503 33412 182.7894964159593 79088 40000
27.592 23.6503 31.5337 30917 175.8323064740948 79088 40000
36.7893 31.5337 42.0449 26986 164.2741610844505 79088 40000
49.0524 42.0449 56.0599 22738 150.7912464302885 79088 40000
65.40325 56.0599 74.7466 19288 138.8812442340578 79088 40000
87.20435000000001 74.7466 99.66210000000001 15140 123.0447073221762 79088 40000
116.27255 99.66209999999998 132.883 11569 107.5592859775482 79088 40000
155.03 132.883 177.177 2761 52.54521862167861 79088 40000
238.5885 177.177 300 123 11.09053650640942 79088 40000
