# x_center x_low x_high value error n_jet n_event
0.003154785 0 0.00630957 2704 52 79088 40000
0.007126425 0.00630957 0.00794328 2170 46.58325879540846 79088 40000
0.008971639999999999 0.00794328 0.009999999999999998 3831 61.89507250177513 79088 40000
0.01129465 0.01 0.0125893 5601 74.83982896827064 79088 40000
0.0142191 0.0125893 0.0158489 7810 88.3742043811428 79088 40000
0.01790075 0.0158489 0.0199526 10602 102.9660138103831 79088 40000
0.02253575 0.0199526 0.0251189 13489 116.1421542765589 79088 40000
0.02837085 0.0251189 0.0316228 16503 128.4640027400672 79088 40000
0.03571675 0.0316228 0.0398107 19169 138.452157801892 79088 40000
0.0449647 0.03981069999999999 0.0501187 21958 148.1823201330037 79088 40000
0.0566072 0.0501187 0.0630957 24280 155.8204094462596 79088 40000
0.07126425 0.0630957 0.0794328 26603 163.1042611337913 79088 40000
0.0897164 0.0794328 0.1 28623 169.1833325123962 79088 40000
0.1129465 0.1 0.125893 28514 168.8608894919128 79088 40000
0.142191 0.125893 0.158489 27689 166.4001201922643 79088 40000
0.1790075 0.158489 0.199526 26442 162.6099627944118 79088 40000
0.2253575 0.199526 0.251189 24901 157.8005069700348 79088 40000
0.2837085 0.251189 0.3162280000000001 22431 149.7698233957695 79088 40000
0.3571675 0.316228 0.398107 19298 138.9172415505001 79088 40000
0.449647 0.398107 0.501187 17899 133.7871443749361 79088 40000
0.5660725 0.501187 0.6309579999999999 14873 121.9549097002659 79088 40000
0.7126435 0.630958 0.794329 13388 115.7065253129658 79088 40000
0.8971644999999999 0.7943289999999998 1 11256 106.0942976789988 79088 40000
