# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 11992541.18547712 55480.37086031532 79088 40000
0.07500000000000001 0.05000000000000001 0.1 3837403.549702039 21692.69750992728 79088 40000
0.125 0.1 0.15 1835540.862965006 12641.18691959121 79088 40000
0.175 0.15 0.2 1036918.891957005 8384.11441110646 79088 40000
0.225 0.2 0.25 640118.415485 5672.042896614559 79088 40000
0.275 0.25 0.3 411704.7123560004 3993.621845926154 79088 40000
0.325 0.2999999999999999 0.35 266059.08539 2684.399626083425 79088 40000
0.375 0.35 0.4 136265.3953250001 1930.729765269678 79088 40000
0.425 0.4 0.4500000000000001 310371.8238510017 3847.549925527645 79088 40000
0.475 0.45 0.5 302251.8172960012 3717.091081310169 79088 40000
0.55 0.5 0.6000000000000001 568509.4817321976 5300.905223819887 79088 40000
0.6499999999999999 0.5999999999999999 0.7 485249.2428643008 4857.884639771574 79088 40000
0.75 0.7 0.8 417984.0935639976 4178.082521658989 79088 40000
0.9 0.8 1 741929.8237195024 5494.113371998751 79088 40000
