# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 112507 335.4206314465465 79088 40000
0.07500000000000001 0.05000000000000001 0.1 79460 281.8865019826242 79088 40000
0.125 0.1 0.15 56231 237.1307656125624 79088 40000
0.175 0.15 0.2 42577 206.3419492008351 79088 40000
0.225 0.2 0.25 34621 186.0671921645511 79088 40000
0.275 0.25 0.3 28274 168.1487436765437 79088 40000
0.325 0.2999999999999999 0.35 23786 154.2271052701178 79088 40000
0.375 0.35 0.4 16497 128.4406477716459 79088 40000
0.425 0.4 0.4500000000000001 22724 150.7448174896902 79088 40000
0.475 0.45 0.5 23198 152.3088966541351 79088 40000
0.55 0.5 0.6000000000000001 45537 213.3940017901159 79088 40000
0.6499999999999999 0.5999999999999999 0.7 43130 207.6776348093362 79088 40000
0.75 0.7 0.8 41449 203.5902748168488 79088 40000
0.9 0.8 1 81230 285.0087717948344 79088 40000
