# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 5591306.997236405 20674.41224042979 79088 40000
0.07500000000000001 0.05000000000000001 0.1 1908781.598980591 8833.339141289425 79088 40000
0.125 0.1 0.15 918486.8298499535 5215.272445809997 79088 40000
0.175 0.15 0.2 514734.4751798426 3409.03320899338 79088 40000
0.225 0.2 0.25 324455.515967742 2385.75337536983 79088 40000
0.275 0.25 0.3 207465.418895636 1671.4475686655 79088 40000
0.325 0.2999999999999999 0.35 134214.0375558748 1139.120560138804 79088 40000
0.375 0.35 0.4 67429.73147894903 750.5922587150205 79088 40000
0.425 0.4 0.4500000000000001 156002.3834904816 1603.345406556833 79088 40000
0.475 0.45 0.5 152768.5884637134 1564.308883212322 79088 40000
0.55 0.5 0.6000000000000001 280105.6359720307 2095.92778409028 79088 40000
0.6499999999999999 0.5999999999999999 0.7 236546.0653461313 1859.813855028639 79088 40000
0.75 0.7 0.8 205210.2629875145 1644.639205759765 79088 40000
0.9 0.8 1 350329.9252246295 2025.043859201292 79088 40000
