# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 -63150.86578058786 51483.39030931032 79088 40000
0.07500000000000001 0.05000000000000001 0.1 -19801.49614511883 19811.51512097646 79088 40000
0.125 0.1 0.15 -22941.73630991391 11513.8480544616 79088 40000
0.175 0.15 0.2 -15245.63233550612 7658.320638716776 79088 40000
0.225 0.2 0.25 377.7841260115725 5144.266920242124 79088 40000
0.275 0.25 0.3 -12032.2108385123 3625.207517412043 79088 40000
0.325 0.2999999999999999 0.35 -4580.325902522985 2428.574423306944 79088 40000
0.375 0.35 0.4 410.1642898910006 1777.204619224719 79088 40000
0.425 0.4 0.4500000000000001 -5102.097057861954 3496.032589127265 79088 40000
0.475 0.45 0.5 -4461.530433526979 3370.238121790875 79088 40000
0.55 0.5 0.6000000000000001 1395.283277104012 4866.680705298686 79088 40000
0.6499999999999999 0.5999999999999999 0.7 -5052.448150354188 4485.446148906021 79088 40000
0.75 0.7 0.8 -2747.757135109741 3838.176793464628 79088 40000
0.9 0.8 1 6658.199640684017 5103.51124403853 79088 40000
