# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 3032.708169501598 14.03003511539433 0 0
0.07500000000000001 0.05000000000000001 0.1 970.4136024939407 5.485711488450151 0 0
0.125 0.1 0.15 464.1768316217394 3.196739560891972 0 0
0.175 0.15 0.2 262.2190198151438 2.120198869893399 0 0
0.225 0.2 0.25 161.8749786276047 1.434362456153793 0 0
0.275 0.25 0.3 104.113067053409 1.009918532754945 0 0
0.325 0.2999999999999999 0.35 67.28178368146877 0.6788386673284001 0 0
0.375 0.35 0.4 34.45918352341695 0.4882484739201083 0 0
0.425 0.4 0.4500000000000001 78.48771592428731 0.9729794470786076 0 0
0.475 0.45 0.5 76.43430540562443 0.9399886408330391 0 0
0.55 0.5 0.6000000000000001 71.8831531625781 0.6702540491376554 0 0
0.6499999999999999 0.5999999999999999 0.7 61.3556093041044 0.6142378919395578 0 0
0.75 0.7 0.8 52.85050748078055 0.5282827384254231 0 0
0.9 0.8 1 46.90533479917956 0.3473417820654684 0 0
