# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 1413.945730638379 5.228204592461508 0 0
0.07500000000000001 0.05000000000000001 0.1 482.6981587549541 2.233800106536877 0 0
0.125 0.1 0.15 232.2695806822663 1.318853036063625 0 0
0.175 0.15 0.2 130.1675286212428 0.8620860836014006 0 0
0.225 0.2 0.25 82.04924033171709 0.6033161479288464 0 0
0.275 0.25 0.3 52.46444944761178 0.4226804492882613 0 0
0.325 0.2999999999999999 0.35 33.940430294324 0.2880640704376907 0 0
0.375 0.35 0.4 17.05182365945503 0.1898119205732905 0 0
0.425 0.4 0.4500000000000001 39.45032963040704 0.40545857944488 0 0
0.475 0.45 0.5 38.63255828032405 0.3955869115952666 0 0
0.55 0.5 0.6000000000000001 35.4169578156017 0.2650121110775693 0 0
0.6499999999999999 0.5999999999999999 0.7 29.90922331404655 0.2351575276942949 0 0
0.75 0.7 0.8 25.9470795806588 0.2079505368399458 0 0
0.9 0.8 1 22.14810876647719 0.1280247230427684 0 0
