# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 -15.96977184417051 13.0192672236775 0 0
0.07500000000000001 0.05000000000000001 0.1 -5.00745906967399 5.009992696989799 0 0
0.125 0.1 0.15 -5.801571998258627 2.911654879238722 0 0
0.175 0.15 0.2 -3.855359178511561 1.936658061581219 0 0
0.225 0.2 0.25 0.09553513200778185 1.300896955351539 0 0
0.275 0.25 0.3 -3.042739945001088 0.9167528619795783 0 0
0.325 0.2999999999999999 0.35 -1.158285935293088 0.6141448571988025 0 0
0.375 0.35 0.4 0.1037235206076776 0.4494245951913609 0 0
0.425 0.4 0.4500000000000001 -1.290232919750646 0.8840867360730492 0 0
0.475 0.45 0.5 -1.128244596785095 0.8522754708150101 0 0
0.55 0.5 0.6000000000000001 0.176421616061098 0.6153500790636617 0 0
0.6499999999999999 0.5999999999999999 0.7 -0.6388387808964936 0.5671462357002355 0 0
0.75 0.7 0.8 -0.3474303478542558 0.4853045712958508 0 0
0.9 0.8 1 0.4209361496487468 0.3226476358005343 0 0
