# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 10.43607910239219 0.05611271726440063 0 0
0.07500000000000001 0.05000000000000001 0.1 3.339362890076061 0.0209779706463997 0 0
0.125 0.1 0.15 1.597313642314076 0.01183923947671122 0 0
0.175 0.15 0.2 0.9023414980915606 0.007703527011831399 0 0
0.225 0.2 0.25 0.5570401064779531 0.005166496032490936 0 0
0.275 0.25 0.3 0.3582712686597213 0.003611295307340143 0 0
0.325 0.2999999999999999 0.35 0.2315283823584128 0.002420613845123977 0 0
0.375 0.35 0.4 0.1185800759435846 0.001711276942257152 0 0
0.425 0.4 0.4500000000000001 0.2700899546449149 0.003429006043884099 0 0
0.475 0.45 0.5 0.2630238099963938 0.003313980509866911 0 0
0.55 0.5 0.6000000000000001 0.2473624993259158 0.002403988041813121 0 0
0.6499999999999999 0.5999999999999999 0.7 0.2111353800910999 0.002191441430330249 0 0
0.75 0.7 0.8 0.1818678375379717 0.001884977193920124 0 0
0.9 0.8 1 0.1614094587837885 0.001274464107464913 0 0
