# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 3.455263267001524 0.01115569235716753 0 0
0.07500000000000001 0.05000000000000001 0.1 2.440338993982073 0.00917013201666584 0 0
0.125 0.1 0.15 1.726940623843519 0.007590559575304854 0 0
0.175 0.15 0.2 1.307605252287625 0.006540959362141722 0 0
0.225 0.2 0.25 1.063264237486199 0.005864341367482558 0 0
0.275 0.25 0.3 0.8683380910627881 0.005275020599037182 0 0
0.325 0.2999999999999999 0.35 0.7305046980978809 0.004822278027873742 0 0
0.375 0.35 0.4 0.5066482806911934 0.003994260904659266 0 0
0.425 0.4 0.4500000000000001 0.6978890422759708 0.004709686708191376 0 0
0.475 0.45 0.5 0.7124463123885747 0.004760225986764325 0 0
0.55 0.5 0.6000000000000001 0.6992557058202975 0.003389460635769938 0 0
0.6499999999999999 0.5999999999999999 0.7 0.662294367042832 0.003292961600888237 0 0
0.75 0.7 0.8 0.6364813174022329 0.003224241937781976 0 0
0.9 0.8 1 0.6236746050879809 0.002320731642703724 0 0
