# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 10.12199358313372 0.04339198354775303 0 0
0.07500000000000001 0.05000000000000001 0.1 3.45548457740468 0.01766061251629934 0 0
0.125 0.1 0.15 1.662745008014982 0.01010673429915603 0 0
0.175 0.15 0.2 0.9318284718337354 0.006493984697872106 0 0
0.225 0.2 0.25 0.5873647525097558 0.004502959677039994 0 0
0.275 0.25 0.3 0.3755765225951141 0.003133592730193856 0 0
0.325 0.2999999999999999 0.35 0.2429688850171348 0.002128444451056468 0 0
0.375 0.35 0.4 0.122068652227413 0.001384362811711 0 0
0.425 0.4 0.4500000000000001 0.2824125245536858 0.002966492650954672 0 0
0.475 0.45 0.5 0.2765583561944281 0.002894726172097939 0 0
0.55 0.5 0.6000000000000001 0.2535388819921571 0.001975246598069954 0 0
0.6499999999999999 0.5999999999999999 0.7 0.2141107398263504 0.001746311913575366 0 0
0.75 0.7 0.8 0.185746996737924 0.001542215255986821 0 0
0.9 0.8 1 0.1585513573506206 0.0009788950643752677 0 0
